Primed for Risk,Number Obstacles,Number Pits,Current z-Pos,Current Velocity,Distance to closest Obstacle,Overall Resets,Resets due to Obstacles,Resets due to Fall,
Yes,0,0,0.00,0.00,0.00,0,0,0,
Yes,0,1,3.61,1.50,6.39,0,0,0,
Yes,0,2,8.10,1.50,1.90,0,0,0,
Yes,0,2,12.59,1.50,0.41,0,0,0,
Yes,0,3,17.08,1.50,6.92,0,0,0,
Yes,0,4,21.60,1.50,2.40,0,0,0,
Yes,0,6,26.09,1.50,1.91,0,0,0,
Yes,0,8,30.59,1.50,0.41,0,0,0,
Yes,0,8,35.09,1.50,0.91,0,0,0,
Yes,1,8,39.58,1.50,0.58,0,0,0,
Yes,3,8,44.30,2.50,1.70,0,0,0,
Yes,3,8,51.06,2.50,0.06,0,0,0,
Yes,4,10,58.34,3.00,2.66,0,0,0,
Yes,5,12,66.54,3.00,1.46,0,0,0,
Yes,7,12,1.92,1.00,0.00,1,0,1,
Yes,8,13,4.92,1.00,6.08,1,0,1,
Yes,8,14,8.23,0.50,2.77,1,0,1,
Yes,9,15,10.02,1.50,0.98,1,0,1,
Yes,10,17,14.21,1.50,1.21,1,0,1,
Yes,12,18,4.38,2.50,5.62,2,0,2,
