trialNr,isDecision,time,items,interactions,metres,failures,levels,answer1,answer2,answer3,
0,Yes,5.644664,6,7,267.9661,6,15,3,3,3,
1,No,0.7245313,0,0,168.6177,5,0,1,2,3,
2,No,0.9399234,0,0,208.7313,0,17,-1,-1,-1,
3,Yes,3.21985,2,1,118.9102,6,0,3,2,1,
4,No,2.203112,0,0,116.9818,2,2,-1,-1,-1,
5,No,0.9710858,0,0,183.4774,2,4,-1,-1,-1,
6,No,0.8369111,0,0,193.8585,2,7,3,5,4,
7,No,2.198967,0,0,94.19649,4,1,-1,-1,-1,
8,Yes,1.349554,1,0,103.1825,4,0,-1,-1,-1,
9,Yes,2.021556,1,0,93.75568,1,0,-1,-1,-1,
10,Yes,1.245707,1,0,94.4449,2,1,-1,-1,-1,
11,Yes,3.407577,3,2,117.0663,4,1,-1,-1,-1,
12,Yes,3.8681,4,3,113.3572,3,2,-1,-1,-1,
13,Yes,7.145751,6,5,110.5576,2,0,-1,-1,-1,
14,Yes,0.9679375,1,0,96.83227,3,0,-1,-1,-1,
15,Yes,3.436798,1,0,94.31696,3,0,-1,-1,-1,
16,Yes,3.357733,4,3,110.7526,3,0,-1,-1,-1,
17,Yes,2.283469,1,0,96.36507,4,0,-1,-1,-1,
18,No,1.023849,0,0,15.21933,0,0,-1,-1,-1,
19,Yes,1.87839,4,3,15.09377,0,0,-1,-1,-1,
20,Yes,5.229774,5,4,16.27183,0,0,-1,-1,-1,
21,Yes,1.960377,2,1,17.40141,0,0,-1,-1,-1,
22,Yes,3.584729,4,3,17.05694,1,0,-1,-1,-1,
23,Yes,2.644499,3,2,16.77347,1,0,-1,-1,-1,
24,Yes,2.314033,2,1,17.27276,0,0,-1,-1,-1,
25,No,2.303075,0,0,14.71451,1,0,-1,-1,-1,
26,No,1.12927,0,0,16.49876,1,0,-1,-1,-1,
27,No,2.793039,0,0,17.42136,0,0,-1,-1,-1,
28,Yes,2.544874,2,1,17.42662,0,0,-1,-1,-1,
29,Yes,2.768903,3,2,19.63646,1,0,-1,-1,-1,
30,Yes,5.898516,4,3,18.18476,0,0,-1,-1,-1,
31,Yes,4.41998,5,4,18.58407,0,0,-1,-1,-1,
32,Yes,4.187504,6,5,18.87765,0,0,-1,-1,-1,
